accepted_name,occurrence_no,class,collection_no,cc,max_ma,min_ma,lat,lng,paleolat,paleolng,group,stage,MAT_degC,GSP_cm,MAP_cm,s_temp,s_precip
Lufengosaurus huenei,1092073,Saurischia,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Sauropodomorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Lufengosaurus huenei,1092073,Saurischia,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Sauropodomorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Lufengosaurus huenei,1092073,Saurischia,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Sauropodomorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Bienotherium yunnanense,1092231,Osteichthyes,49503,CN,201.3,199.3,25.175985,102.090401,37.81,120.18,Tetrapoda,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Bienotherium yunnanense,1092231,Osteichthyes,49503,CN,201.3,199.3,25.175985,102.090401,37.81,120.18,Tetrapoda,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Bienotherium yunnanense,1092232,Osteichthyes,49503,CN,201.3,199.3,25.175985,102.090401,37.81,120.18,Tetrapoda,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Bienotherium yunnanense,1092232,Osteichthyes,49503,CN,201.3,199.3,25.175985,102.090401,37.81,120.18,Tetrapoda,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Bienotherium minor,1092233,Osteichthyes,49503,CN,201.3,199.3,25.175985,102.090401,37.81,120.18,Tetrapoda,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Bienotherium minor,1092233,Osteichthyes,49503,CN,201.3,199.3,25.175985,102.090401,37.81,120.18,Tetrapoda,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Kunminia minima,1092245,Osteichthyes,49773,CN,199.3,190.8,25.173765,102.097412,37.38,122.21,Tetrapoda,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Platyognathus hsui,1092246,Reptilia,49773,CN,199.3,190.8,25.173765,102.097412,37.38,122.21,Tetrapoda,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Lukousaurus yini,1092248,Reptilia,49773,CN,199.3,190.8,25.173765,102.097412,37.38,122.21,Tetrapoda,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Sinosaurus triassicus,1092249,Saurischia,49773,CN,199.3,190.8,25.173765,102.097412,37.38,122.21,Dinosauromorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Sinosaurus triassicus,1092249,Saurischia,49773,CN,199.3,190.8,25.173765,102.097412,37.38,122.21,Dinosauromorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Sinosaurus triassicus,1092249,Saurischia,49773,CN,199.3,190.8,25.173765,102.097412,37.38,122.21,Dinosauromorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Lufengosaurus huenei,1092251,Saurischia,59348,CN,199.3,190.8,25.183153,102.120239,37.39,122.23,Sauropodomorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Lufengosaurus huenei,1092251,Saurischia,59348,CN,199.3,190.8,25.183153,102.120239,37.39,122.23,Sauropodomorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Lufengosaurus huenei,1092251,Saurischia,59348,CN,199.3,190.8,25.183153,102.120239,37.39,122.23,Sauropodomorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Sinosaurus triassicus,1092252,Saurischia,49773,CN,199.3,190.8,25.173765,102.097412,37.38,122.21,Dinosauromorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
