taxon_name,collection_no,strat_unit,country,stage,MAT_degC,MAP_cm,s_temp,s_precip
Lucianovenator_bonoi,182613,Quebrada del Barro Formation,Argentina,Norian,18.24973,1.142106,33.075625,6.0775099
Lucianovenator_bonoi,182613,Quebrada del Barro Formation,Argentina,Norian,18.24973,1.142106,33.075625,6.0775099
Powellvenator_podocitus,193499,Los Colorados Formation,Argentina,Norian,21.26407,0.3352539,37.450503,1.1838146
Powellvenator_podocitus,193499,Los Colorados Formation,Argentina,Norian,21.26407,0.3352539,37.450503,1.1838146
Xingxiulong_chengi,194385,Lufeng Formation (Shawan Member),China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Xingxiulong_chengi,194385,Lufeng Formation (Shawan Member),China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Panguraptor_lufengensis,49501,Lufeng Formation (Shawan Member),China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Panguraptor_lufengensis,49501,Lufeng Formation (Shawan Member),China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Dromomeron_gregorii,13273,"Colorado City Formation,  Cooper Canyon Formation, Chinle Formation (Sonsela Member)",USA,Norian,35.04388,0.8209236,5.324160000000003,5.15831674
Dromomeron_gregorii,13273,"Colorado City Formation,  Cooper Canyon Formation, Chinle Formation (Sonsela Member)",USA,Norian,35.04388,0.8209236,5.324160000000003,5.15831674
Dromomeron_gregorii,84269,"Colorado City Formation,  Cooper Canyon Formation, Chinle Formation (Sonsela Member)",USA,Norian,39.10983,0.5222768,5.05744,3.2780192
Dromomeron_gregorii,84269,"Colorado City Formation,  Cooper Canyon Formation, Chinle Formation (Sonsela Member)",USA,Norian,39.10983,0.5222768,5.05744,3.2780192
Dromomeron_romeri,84269,"Chinle Formation (Petrified Forest Member), Cooper Canyon Formation, Chinle Formation (Owl Creek Member)",USA,Norian,39.10983,0.5222768,5.05744,3.2780192
Dromomeron_romeri,84269,"Chinle Formation (Petrified Forest Member), Cooper Canyon Formation, Chinle Formation (Owl Creek Member)",USA,Norian,39.10983,0.5222768,5.05744,3.2780192
Dromomeron_romeri,196354,"Chinle Formation (Petrified Forest Member), Cooper Canyon Formation, Chinle Formation (Owl Creek Member)",USA,Norian,35.04388,0.8209236,5.324160000000003,5.15831674
Dromomeron_romeri,196354,"Chinle Formation (Petrified Forest Member), Cooper Canyon Formation, Chinle Formation (Owl Creek Member)",USA,Norian,35.04388,0.8209236,5.324160000000003,5.15831674
Lepidus_praecisio,196651,lowermost Dockum Group,USA,Norian,35.04388,0.8209236,5.324160000000003,5.15831674
